type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	45.628451368	9.296872150	187.7			
T	45.628443952	9.296865487	187.7			
T	45.628433031	9.296858890	187.7			
T	45.628421960	9.296849719	187.7			
T	45.628414124	9.296840204	187.6			
T	45.628405769	9.296832736	187.6			
T	45.628396928	9.296823682	187.6			
T	45.628389367	9.296813649	187.5			
T	45.628382060	9.296805876	187.5			
T	45.628375357	9.296797901	187.5			
T	45.628369301	9.296790044	187.4			
T	45.628362568	9.296781232	187.4			
T	45.628349792	9.296763221	187.3			
T	45.628339511	9.296744005	187.3			
T	45.628328326	9.296726021	187.2			
T	45.628318694	9.296710355	187.2			
T	45.628306322	9.296694623	187.2			
T	45.628296397	9.296676570	187.2			
T	45.628287410	9.296657873	187.2			
T	45.628278912	9.296634738	187.2			
T	45.628269423	9.296613224	187.2			
T	45.628261169	9.296590145	187.3			
T	45.628251082	9.296564707	187.3			
T	45.628241150	9.296540019	187.3			
T	45.628226433	9.296505902	187.4			
T	45.628214473	9.296475079	187.4			
T	45.628205036	9.296448888	187.5			
T	45.628195124	9.296424919	187.5			
T	45.628184308	9.296399450	187.5			
T	45.628173869	9.296371287	187.5			
T	45.628165251	9.296344608	187.5			
T	45.628152703	9.296307721	187.5			
T	45.628131087	9.296248476	187.4			
T	45.628104851	9.296186783	187.2			
T	45.628084246	9.296133546	187.1			
T	45.628066312	9.296082040	187.0			
T	45.628048348	9.296036285	187.0			
T	45.628025314	9.295981295	187.1			
T	45.628005647	9.295933387	187.2			
T	45.627987633	9.295886912	187.2			
T	45.627967871	9.295835946	187.3			
T	45.627952358	9.295793525	187.3			
T	45.627938010	9.295755754	187.3			
T	45.627923537	9.295721550	187.3			
T	45.627911666	9.295694841	187.3			
T	45.627885805	9.295624671	187.2			
T	45.627860504	9.295562005	187.0			
T	45.627838789	9.295506846	187.0			
T	45.627817528	9.295440645	187.0			
T	45.627803825	9.295383828	187.0			
T	45.627758985	9.295263746	187.0			
T	45.627712536	9.295148090	187.0			
T	45.627678311	9.295063081	187.0			
T	45.627648534	9.294983810	187.0			
T	45.627606369	9.294875735	187.0			
T	45.627560219	9.294749785	187.0			
T	45.627333078	9.294162175	187.0			
T	45.627191693	9.293792631	187.0			
T	45.627137581	9.293670821	187.0			
T	45.627086949	9.293539745	187.0			
T	45.627042208	9.293418879	187.0			
T	45.626995811	9.293297247	187.0			
T	45.626959253	9.293209697	187.0			
T	45.626898684	9.293046588	187.0			
T	45.626866103	9.292963905	187.0			
T	45.626804791	9.292825048	187.0			
T	45.626783241	9.292767237	187.0			
T	45.626538414	9.292248689	187.5			
